Bus_ID,Route_Name,Start_Location_ID,End_Location_ID,Number_Of_Stations,Frequency_Per_Hour,status
"Anabil Paribahan","Route H",DHAKA8,DHAKA17,14,6,"On Time"
"Ashin Paribahan","Route D",DHAKA4,DHAKA13,18,7,Cancelled
"Azam Paribahan","Route J",DHAKA0,DHAKA19,16,5,"On Time"
"Dhakar Chaka","Route E",DHAKA5,DHAKA14,20,8,"On Time"
"Green Dhaka","Route A",DHAKA1,DHAKA0,15,6,"On Time"
"Projapoti Paribahan","Route G",DHAKA7,DHAKA16,25,10,"On Time"
"Retro Paribahan","Route I",DHAKA9,DHAKA18,9,4,Cancelled
"Sikhor Paribhan","Route C",DHAKA3,DHAKA12,10,4,"On Time"
"Torongo Paribahan","Route B",DHAKA2,DHAKA11,12,5,Delayed
"Victor Classic","Route F",DHAKA6,DHAKA15,8,3,Delayed
