Utility_ID,Location_ID,Utility_Type,Consumption,Provider,Timestamp,Cost_Per_Unit,Peak_Consumption_Period,Device_ID
U001,DHAKA1,Electricity,1200.50,"PowerGrid Ltd.","2024-12-07 16:00:00",5.20,08:00-10:00,SENSOR001
U002,DHAKA2,Water,800.00,"WaterSupply Co.","2024-12-07 16:05:00",2.10,06:00-08:00,SENSOR002
U003,DHAKA3,Gas,350.75,"GasDistribution Inc.","2024-12-07 16:10:00",3.50,18:00-20:00,SENSOR003
U004,DHAKA4,Electricity,950.25,"PowerGrid Ltd.","2024-12-07 16:15:00",5.20,09:00-11:00,SENSOR004
U005,DHAKA5,Water,1050.60,"WaterSupply Co.","2024-12-07 16:20:00",2.10,07:00-09:00,SENSOR005
U006,DHAKA6,Gas,200.45,"GasDistribution Inc.","2024-12-07 16:25:00",3.50,19:00-21:00,SENSOR006
U007,DHAKA7,Electricity,1150.80,"PowerGrid Ltd.","2024-12-07 16:30:00",5.20,10:00-12:00,SENSOR007
U008,DHAKA8,Water,900.25,"WaterSupply Co.","2024-12-07 16:35:00",2.10,05:00-07:00,SENSOR008
U009,DHAKA9,Gas,450.50,"GasDistribution Inc.","2024-12-07 16:40:00",3.50,15:00-17:00,SENSOR009
U010,DHAKA0,Electricity,1300.00,"PowerGrid Ltd.","2024-12-07 16:45:00",5.20,11:00-13:00,SENSOR010
